[00:00] 指はもうたぶん折れまくってます
[27:01] ボールとかでリリースとか
[27:03] やってますけど
[27:05] 疲れは出てきますね
[27:07] ちゃんと上げられないんで
[27:09] 無理やり親指で足首の上がる
[27:11] スペースを確保したりとか
[27:13] 固まってしまうと神経が潰されます
[27:15] 神経が潰されると
[27:17] 足首上がりなさい親指上がりなさい
[27:19] って命令が途絶えちゃうんです
[27:21] 神経の即通っていうんですけど
[27:23] 遮断されちゃって動きが悪くなっちゃうんですよ
[27:25] それで筋肉が
[27:27] 丈夫でも関節が丈夫でも
[27:29] 神経がどこかで潰されていると
[27:31] 命令が届かないつまり動き悪くなっちゃうんです
[27:33] そういうのもここで
[27:35] 解放してあげないといけないです
[27:37] ここがピッと痺れるっていうのは
[27:39] いい傾向で正解を捉えている
[27:41] ここだなこの奥
[27:43] 指先に感じてます私
[27:45] 何を感じてますか
[27:47] この輸着が鬼ほど固まっているところを
[27:49] ちなみに前田さんが輸着王でしたけど
[27:51] どうですかね
[27:53] 今のところでも
[27:55] シンガポールの時に
[27:57] 同じレベルの輸着の方いらっしゃったんですけど
[27:59] 3位ですかね
[28:01] 一位シンガポールの人
[28:03] 1位シンガポールの人に
[28:05] 前田さん3位ですね
[28:07] 鬼ほど固い
[28:09] おめでとうございます
[28:11] いいのか悪いのか分かんないです
[28:13] 輸着ランキング3位
[28:15] これは固い
[28:17] 中で金属で固定されているから
[28:19] 輸着の度合いも半端じゃないです
[28:21] これを解放してあげないと
[28:23] 異常がないのに
[28:25] 動きが悪いってことになっちゃうんですよ
[28:27] 中の方で神経のせいで
[28:29] すごいなこれ
[28:31] ちょっと来ました
[28:33] この奥なんですよ
[28:35] 指先で触れてます
[28:37] 本来これは当たり前に感じるものなんですもんね
[28:39] トリガーポイントっていう
[28:41] 筋膜の状態としては
[28:43] かなり進んだ状態が悪い
[28:45] 様相を定してないと
[28:47] この症状出ないです
[28:49] これ放散痛って言うんですね
[28:51] もしくは関連痛って言います
[28:53] こっちに来るんだけど
[28:55] 痛みとか違和感を感じてる
[28:57] これは原因じゃなくて離れたところ
[28:59] いきなりこの指の動かし方とか
[29:01] 足首動かし方がこれで
[29:03] 軽くなりますから
[29:05] この軸が整った後にこれを取ると
[29:07] とにかく足が肝ですもんね
[29:09] おそらく足の使い方が相当上手のはずなんです
[29:11] これなんでかっていうと
[29:13] 重心移動とか体重移動とか
[29:15] このぶつかられた時に
[29:17] いかに稲すか
[29:19] ぶつかったのに対してガツンってこっちからぶつかっていくと壊れちゃうんで
[29:21] ぶつかられたら稲すってのは
[29:23] やってるはずなんですね
[29:25] サッカーのディフェンスとかも
[29:27] 上手なんですよ
[29:29] 自分からわざと飛んだりとか
[29:31] 稲す中心となるのは足首なんですよ
[29:33] 足首と膝のねじれの回転が上手で
[29:35] 体ひねってるんだと思うんですよね
[29:37] ですか?
[29:39] 僕も勉強になってます
[29:41] そうなんかなって
[29:43] 教えてくださいわたし
[29:45] 稲されてるからこの状態の仕上がりなのか
[29:47] おそらくぶつかって
[29:49] 衝撃が来るって感じた瞬間に
[29:51] 稲すっていう動作をしてるはずなんですよ
[29:53] そうなのかなみたいな感じ
[29:55] 今度は動画でチェックしていただきたいです
[29:57] ただガツンってぶつかってたら
[29:59] これじゃ済まないと思うので
[30:01] おそらく稲してるんですね
[30:03] 何かめちゃくちゃそれを
[30:05] プレイ中に意識してるってことって
[30:07] けがしたことによって変わった部分はあるかもしれないです
[30:09] 今まではイケイケで
[30:11] どんだけでっかいやつにつかまれてても
[30:13] 無理して持っていくみたいなことを
[30:15] やってた時期もあったんですけど
[30:17] 大学一回生の時に足首折れてからは
[30:19] 自分の中でこれ以上いったらダメだっていう
[30:21] 感覚が自分で分かりだしたんで
[30:23] 稲すというか逃げるっていうことはありますね
[30:25] それが自然に
[30:27] 訓練の中でできるようになってるんだと思います
[30:29] そうじゃないとね
[30:31] ここまで無事じゃないんですけど
[30:33] もっと壊れてると思います雨太って
[30:35] 競技を考えると
[30:37] これはやばいですね
[30:39] 痛みを出すとこまでも動かせてない
[30:41] そのくらい可動力ないんですよ
[30:53] ご視聴ありがとうございました
[31:23] ご視聴ありがとうございました
[31:53] ご視聴ありがとうございました
